Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/w_rd_dbg_actual[63:0],u_harness/w_rd_dbg_expected[63:0],u_harness/w_rd_dbg_mismatch,u_harness/w_rd_dbg_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
186,186,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
187,187,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
188,188,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
189,189,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
190,190,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
191,191,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
192,192,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
193,193,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
194,194,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
195,195,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
196,196,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
197,197,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
198,198,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
199,199,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
200,200,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
201,201,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
202,202,0,0000000,00,2,2,2,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
203,203,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
204,204,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
205,205,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
206,206,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
207,207,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
208,208,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
209,209,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
210,210,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
211,211,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
212,212,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
213,213,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
214,214,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
215,215,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
216,216,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
217,217,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
218,218,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
219,219,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
220,220,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
221,221,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
222,222,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
223,223,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
224,224,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
225,225,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
226,226,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
227,227,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
228,228,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
229,229,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
230,230,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
231,231,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
232,232,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
233,233,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
234,234,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
235,235,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
236,236,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
237,237,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
238,238,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
239,239,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
240,240,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
241,241,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
242,242,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
243,243,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
244,244,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
245,245,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
246,246,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
247,247,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
248,248,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
249,249,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
250,250,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
251,251,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
252,252,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
253,253,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
254,254,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
255,255,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
256,256,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
257,257,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
258,258,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
259,259,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
260,260,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
261,261,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
262,262,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
263,263,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
264,264,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
265,265,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
266,266,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
267,267,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
268,268,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
269,269,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
270,270,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
271,271,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
272,272,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
273,273,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
274,274,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
275,275,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
276,276,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
277,277,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
278,278,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
279,279,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
280,280,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
281,281,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
282,282,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
283,283,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
284,284,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
285,285,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
286,286,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
287,287,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
288,288,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
289,289,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
290,290,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
291,291,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
292,292,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
293,293,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
294,294,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
295,295,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
296,296,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
297,297,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
298,298,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
299,299,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
300,300,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
301,301,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
302,302,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
303,303,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
304,304,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
305,305,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
306,306,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
307,307,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
308,308,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
309,309,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
310,310,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
311,311,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
312,312,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
313,313,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
314,314,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
315,315,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
316,316,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
317,317,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
318,318,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
319,319,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
320,320,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
321,321,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
322,322,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
323,323,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
324,324,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
325,325,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
326,326,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
327,327,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
328,328,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
329,329,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
330,330,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
331,331,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
332,332,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
333,333,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
334,334,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
335,335,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
336,336,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
337,337,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
338,338,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
339,339,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
340,340,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
341,341,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
342,342,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
343,343,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
344,344,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
345,345,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
346,346,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
347,347,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
348,348,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
349,349,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
350,350,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
351,351,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
352,352,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
353,353,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
354,354,0,0000000,00,3,3,3,0000000000000000,0,0,3,978a1b995120dcdc,0,1,0000000000000000,0000000000000000,0000000000000000,0,0
